Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,2.9258,0.00836,0.024239999999999998,0.0001,0.0008900000000000001,0.0008900000000000001
88300000000.0,2.891,0.00842,0.02514,0.0001,0.00087,0.00088
98300000000.0,2.7092,0.00452,0.0261,0.0001,0.0008100000000000001,0.0008100000000000001
100300000000.0,2.678,0.0034500000000000004,0.02711,0.0001,0.0008100000000000001,0.0008100000000000001
213100000000.0,1.8069,-0.00914,0.04025,0.0001,0.00055,0.00055
215100000000.0,1.7912,-0.00954,0.04054,0.0001,0.00054,0.00055
227100000000.0,1.7147,-0.00926,0.040909999999999995,0.0001,0.0005200000000000001,0.0005200000000000001
229100000000.0,1.7051,-0.00885,0.04104,0.0001,0.0005200000000000001,0.0005200000000000001
