Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,1.412,0.009609999999999999,0.00556,0.0006,0.00043,0.00043
88300000000.0,1.4072,0.01053,0.00359,0.0005,0.00043,0.00043
98300000000.0,1.3911,0.01715,0.00174,0.0004,0.00041999999999999996,0.00041999999999999996
100300000000.0,1.3894,0.01747,0.0019,0.0004,0.00041999999999999996,0.00041999999999999996
213100000000.0,1.0733,0.01504,0.01748,0.0001,0.00032,0.00032
215100000000.0,1.0724,0.01486,0.018269999999999998,0.0001,0.00032,0.00032
227100000000.0,1.0058,0.011349999999999999,0.02022,0.0001,0.0003,0.0003
229100000000.0,0.9979,0.01063,0.02048,0.0001,0.0003,0.0003
