Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,4.7495,0.1608,-0.4581,0.0001,0.0032899999999999995,0.0032899999999999995
88300000000.0,4.6795,0.1603,-0.45330000000000004,0.0001,0.0032899999999999995,0.0032899999999999995
98300000000.0,4.3621,0.16090000000000002,-0.42710000000000004,0.0001,0.0030549999999999996,0.0030549999999999996
100300000000.0,4.3015,0.16090000000000002,-0.4223,0.0001,0.0030549999999999996,0.0030549999999999996
213100000000.0,1.9243,0.09094,-0.23243,0.0002,0.0013864999999999997,0.0013864999999999997
215100000000.0,1.9176,0.09211,-0.22852,0.0002,0.0013864999999999997,0.0013864999999999997
227100000000.0,1.7974,0.08911,-0.21033000000000002,0.0002,0.0012924999999999998,0.0012924999999999998
229100000000.0,1.7774,0.07895,-0.20812,0.0002,0.0012924999999999998,0.0012924999999999998
