Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,13.0836,0.09209999999999999,1.5654000000000001,0.0002,0.016184999999999998,0.016184999999999998
88300000000.0,12.9559,0.0862,1.562,0.0002,0.016184999999999998,0.016184999999999998
98300000000.0,12.4402,0.0734,1.5383,0.0002,0.015354999999999999,0.015354999999999999
100300000000.0,12.3513,0.074,1.531,0.0002,0.015354999999999999,0.015354999999999999
213100000000.0,10.1283,-0.022699999999999998,1.3234000000000001,0.0001,0.01245,0.01245
215100000000.0,10.0678,-0.0208,1.319,0.0001,0.01245,0.01245
227100000000.0,9.7365,-0.006,1.2905,0.0001,0.012034999999999997,0.012034999999999997
229100000000.0,9.6911,-0.003,1.2895,0.0001,0.012034999999999997,0.012034999999999997
