Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,5.2587,0.1226,-0.1864,0.0001,0.00304,0.00304
88300000000.0,5.2003,0.1256,-0.1855,0.0001,0.00304,0.00304
98300000000.0,4.9545,0.1267,-0.1851,0.0001,0.00285,0.00285
100300000000.0,4.9141,0.1258,-0.18630000000000002,0.0001,0.00285,0.00285
213100000000.0,3.2543,0.13535,-0.13547,0.0001,0.001862,0.001862
215100000000.0,3.2663,0.13436,-0.13616999999999999,0.0001,0.001862,0.001862
227100000000.0,3.1157,0.12419,-0.13483,0.0001,0.0017859999999999998,0.0017859999999999998
229100000000.0,3.0951,0.12617,-0.1352,0.0001,0.0017670000000000001,0.0017670000000000001
