Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,5.5564,-0.0009,-0.2546,0.0001,0.0055249999999999995,0.0055249999999999995
88300000000.0,5.4855,-0.0031,-0.26139999999999997,0.0002,0.0055249999999999995,0.0055249999999999995
98300000000.0,5.1931,0.0006,-0.2562,0.0002,0.005200000000000001,0.005200000000000001
100300000000.0,5.1766,-0.0052,-0.24819999999999998,0.0002,0.005200000000000001,0.005200000000000001
213100000000.0,3.7589,-0.030199999999999998,-0.22640000000000002,0.0001,0.003575,0.003575
215100000000.0,3.7333,-0.030699999999999998,-0.22390000000000002,0.0001,0.003575,0.003575
227100000000.0,3.5897,-0.033100000000000004,-0.21409999999999998,0.0001,0.003575,0.003575
229100000000.0,3.5701,-0.033,-0.21509999999999999,0.0001,0.003575,0.003575
