Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,9.583,-0.0197,-0.3977,0.0003,0.012034999999999997,0.012034999999999997
88300000000.0,9.5486,-0.0245,-0.3841,0.0003,0.012034999999999997,0.012034999999999997
98300000000.0,9.1885,-0.0373,-0.3402,0.0003,0.011619999999999998,0.011619999999999998
100300000000.0,9.1179,-0.0353,-0.3421,0.0003,0.011205,0.011205
213100000000.0,7.8255,-0.0581,-0.1935,0.0001,0.009959999999999998,0.009959999999999998
215100000000.0,7.7724,-0.061399999999999996,-0.1881,0.0001,0.009544999999999998,0.009544999999999998
227100000000.0,7.4929,-0.071,-0.1534,0.0001,0.00913,0.00913
229100000000.0,7.4502,-0.0689,-0.1458,0.0001,0.00913,0.00913
