Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,3.256,-0.01862,-0.02265,0.0001,0.003185,0.003185
88300000000.0,3.1972,-0.01663,-0.02035,0.0001,0.0031199999999999995,0.0031199999999999995
98300000000.0,2.9536,-0.013269999999999999,-0.013439999999999999,0.0001,0.0028925,0.0028925
100300000000.0,2.9133,-0.01268,-0.01158,0.0001,0.00286,0.00286
213100000000.0,1.8466,-0.0033599999999999997,0.00271,0.0001,0.0018200000000000002,0.0018200000000000002
215100000000.0,1.8323,-0.00391,0.00252,0.0001,0.0017875,0.0017875
227100000000.0,1.7433,-0.0038799999999999998,0.00273,0.0001,0.0017224999999999999,0.0017224999999999999
229100000000.0,1.7254,-0.00266,0.00298,0.0001,0.00169,0.00169
