Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,5.7394,-0.3349,-0.37989999999999996,0.0001,0.00323,0.00323
88300000000.0,5.6759,-0.32939999999999997,-0.3795,0.0001,0.00323,0.00323
98300000000.0,5.3386,-0.3182,-0.37060000000000004,0.0001,0.00304,0.00304
100300000000.0,5.2705,-0.3178,-0.3675,0.0001,0.00304,0.00304
213100000000.0,3.5375,-0.16290000000000002,-0.2724,0.0001,0.00209,0.00209
215100000000.0,3.558,-0.16519999999999999,-0.2702,0.0001,0.00209,0.00209
227100000000.0,3.3232,-0.16493,-0.24731999999999998,0.0001,0.0019,0.0019
229100000000.0,3.2963,-0.16363,-0.25551,0.0001,0.0018809999999999999,0.0018809999999999999
