Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,4.6648,0.07579999999999999,-0.2104,0.0001,0.00518,0.00518
88300000000.0,4.5831,0.0733,-0.2089,0.0001,0.00518,0.00518
98300000000.0,4.243,0.06570000000000001,-0.2018,0.0001,0.004809999999999999,0.004809999999999999
100300000000.0,4.1872,0.06509999999999999,-0.2008,0.0001,0.004809999999999999,0.004809999999999999
213100000000.0,2.8934,0.04335,-0.12896000000000002,0.0001,0.0032189999999999996,0.0032189999999999996
215100000000.0,2.8734,0.04278,-0.12697,0.0001,0.0031819999999999995,0.0031819999999999995
227100000000.0,2.7273,0.04093,-0.11913,0.0001,0.003034,0.003034
229100000000.0,2.6982,0.041229999999999996,-0.12015,0.0001,0.002997,0.002997
