Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,2.35,-0.0016200000000000001,0.00023,0.0008,0.0013489999999999997,0.0013489999999999997
88300000000.0,2.3683,-0.00103,0.00347,0.0008,0.0013489999999999997,0.0013489999999999997
98300000000.0,2.4536,-0.00661,-0.00086,0.0007,0.001406,0.001406
100300000000.0,2.471,-0.00372,0.0029300000000000003,0.0006,0.001406,0.001406
213100000000.0,3.1099,-0.07708,-0.02902,0.0001,0.0017670000000000001,0.0017670000000000001
215100000000.0,3.1119,-0.07831,-0.032619999999999996,0.0001,0.0017859999999999998,0.0017670000000000001
227100000000.0,3.1231,-0.07959000000000001,-0.06017,0.0001,0.0017859999999999998,0.0017859999999999998
229100000000.0,3.1019,-0.07851000000000001,-0.06477,0.0001,0.0017670000000000001,0.0017670000000000001
