Frequency [Hz],I,Q,U,I_err,Q_err,U_err
86300000000.0,13.8499,0.24780000000000002,1.401,0.0003,0.013650000000000002,0.013650000000000002
88300000000.0,13.6679,0.2517,1.3842999999999999,0.0003,0.013650000000000002,0.013324999999999998
98300000000.0,13.0757,0.2827,1.3499,0.0002,0.013000000000000001,0.012674999999999999
100300000000.0,12.957,0.2879,1.3423,0.0002,0.013000000000000001,0.012674999999999999
213100000000.0,9.9039,0.2495,1.1564,0.0001,0.00975,0.00975
215100000000.0,9.8214,0.2452,1.1487,0.0001,0.009425,0.009425
227100000000.0,9.4076,0.2201,1.1098,0.0001,0.0091,0.0091
229100000000.0,9.3297,0.2176,1.1022,0.0001,0.0091,0.0091
